src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.200.4,93.184.220.29,58986,80,6,2020-02-04 12:24:02,93.185772,58.90384210156031,0.34340006326287664,0.18243128360840322,0.16096877965447343,17,15,2211,3278,485,54,130.05882352941177,164.30583770669338,853,60,218.53333333333333,317.0667367535667,853,54,171.53125,251.82372112935965,63415.1865234375,340,300,20,3,3.0059926451612897,10.242126,1.7e-05,4.424191253931499,93.184168,10.244146,0.000573,5.8240105,4.640023180144995,93.182573,11.267913,0.003854,6.655898071428571,4.70318267620735,3,3,0,0,0,0,0,6,32,0,0,0.8823529411764706,171.53125,31960,64240,9.154517,5.320672,7.284329333333335,1.5665555219326113,9.222607,6.34828,8.023778499999999,1.2406911543600407,0,0,0,0,0,0,130.05882352941177,218.53333333333333,0,17,15,2211,3278
192.168.200.4,52.24.111.232,42988,443,6,2020-02-04 12:24:08,92.046817,178.02896975785703,0.5214737626397228,0.2607368813198614,0.2607368813198614,24,24,10713,5674,2974,54,446.375,856.4582015730053,3457,60,236.41666666666666,677.119322120473,3457,54,341.3958333333333,779.1188864026501,607026.2391493056,480,480,20,7,1.958442914893617,10.242223,1e-06,3.8620516543501537,92.045033,10.243877,1.4e-05,4.001957956521739,4.723754764881442,91.882562,11.057842,1e-06,3.9948939999999995,4.9189720314700525,5,5,0,0,0,2,0,10,47,0,0,1.0,341.3958333333333,29200,64240,9.082101,8.944051,9.013076,0.06902499999999989,9.971733,9.078696,9.421425666666666,0.3930183512393395,0,0,316.5,5.0,0,854.6881603411191419092896367,446.375,236.41666666666666,0,24,24,10713,5674
192.168.200.4,52.24.111.232,42990,443,6,2020-02-04 12:24:08,92.299918,224.46390472416238,0.6283862570712143,0.31419312853560716,0.31419312853560716,29,29,14492,6226,2974,54,499.7241379310345,907.5655156953845,1354,60,214.68965517241378,350.907798426357,2974,54,357.2068965517241,702.6499044533484,493716.8882282996,580,580,20,9,1.619296807017544,10.241633,2e-06,3.583570287090875,92.297751,10.243814,2.6e-05,3.29634825,4.541618870662772,92.134806,11.190815,2e-06,3.2905287857142858,4.7120658477564,6,8,0,0,0,2,0,14,57,0,0,1.0,357.2068965517241,29200,64240,9.178313,8.947548,9.0629305,0.11538249999999994,9.971554,9.178522,9.455490333333332,0.36523953060271114,0,0,1081.0,4.25,0,3649.878407727883163374263630,499.7241379310345,214.68965517241378,0,29,29,14492,6226
192.168.200.4,52.24.111.232,42992,443,6,2020-02-04 12:24:08,92.29951,132.53591487105402,0.4875432166432953,0.24918875517323982,0.23835446147005548,23,22,6955,5278,2974,54,302.39130434782606,668.7817437654461,1514,60,239.9090909090909,405.84691573087554,2974,54,271.84444444444443,556.8710984122929,310105.4202469136,460,440,20,5,2.0977155454545455,10.255651,-2.6e-05,3.9774691517403116,92.297691,10.255651,4e-06,4.1953495909090925,4.78072885878183,92.13428,11.282267,1.1e-05,4.387346666666667,5.011398385603195,4,5,0,0,0,2,0,9,44,0,0,0.9565217391304348,271.84444444444443,29200,64240,9.08882,8.982942,9.035881,0.05293900000000029,10.007692,9.088272,9.437525666666668,0.40655880166779773,0,0,1851.5,4.5,0,5999.403785959159338202414667,302.39130434782606,239.9090909090909,0,23,22,6955,5278
192.168.200.4,52.24.111.232,42994,443,6,2020-02-04 12:24:08,92.296886,180.25526885056556,0.4983916792165664,0.2491958396082832,0.2491958396082832,23,23,11023,5614,2974,54,479.2608695652174,950.5068312720831,3457,60,244.08695652173913,690.6612403778732,3457,54,361.67391304347825,839.0856839272402,704064.7849716445,460,460,20,6,2.051041911111111,10.240838,1e-06,3.9423738051661874,92.295264,10.243193,3.5e-05,4.195239272727273,4.776096026037919,92.131307,11.278603,1e-06,4.1877866818181815,4.980424702215066,5,5,0,0,0,2,0,10,45,0,0,1.0,361.67391304347825,29200,64240,9.08908,8.998271,9.043675499999999,0.04540449999999918,10.023006,9.088539,9.442729666666667,0.413636869751181,0,0,313.5,4.5,0,1094.909630664454728018859687,479.2608695652174,244.08695652173913,0,23,23,11023,5614
192.168.200.4,52.24.111.232,42996,443,6,2020-02-04 12:24:08,92.293934,130.6586411193611,0.49840762015843865,0.2600387583435332,0.23836886181490544,24,22,6241,5818,1800,54,260.0416666666667,446.5477278677934,3457,60,264.45454545454544,703.9105526384035,3457,54,262.1521739130435,583.9654906194411,341015.69423440454,480,440,20,6,2.050976311111111,10.24075,1e-06,3.9278323629339194,92.292024,10.243198,0.000193,4.012696695652174,4.725163217357116,92.128551,11.217959,1e-06,4.387073857142856,4.989849622680201,6,6,0,0,0,2,0,12,45,0,0,0.9166666666666666,262.1521739130435,29200,64240,9.082279,8.948059,9.015169,0.06710999999999956,9.975726,9.078817,9.423696000000001,0.3943729970226999,0,0,333.0,4.0,0,1011.174541479412121948257014,260.0416666666667,264.45454545454544,0,24,22,6241,5818
192.168.200.4,52.24.111.232,42998,443,6,2020-02-04 12:24:08,92.289792,152.40038681634476,0.5417717270399742,0.2817212980607866,0.2600504289791876,26,24,8133,5932,2974,54,312.8076923076923,617.3881723238985,2157,60,247.16666666666666,479.23121304392885,2974,54,281.3,556.3460523810697,309520.92999999993,520,480,20,7,1.8834651428571427,10.240608,9e-06,3.8048108033057466,92.28773799999999,10.2432,1.1e-05,3.6915095199999994,4.659759839583281,92.125339,11.176174,0.000128,4.005449521739131,4.923899195123346,6,7,0,0,0,2,0,13,49,0,0,0.9230769230769231,281.3,29200,64240,9.114587,8.94337,9.028978500000001,0.0856085000000002,9.971471,9.110692,9.432855000000002,0.3832962714985189,0,0,339.0,5.0,0,947.9415128475436011151595142,312.8076923076923,247.16666666666666,0,26,24,8133,5932
192.168.200.4,93.184.220.29,59010,80,6,2020-02-04 12:24:08,98.857728,42.73818633582192,0.313581958913723,0.17196430004946098,0.141617658864262,17,14,1800,2425,485,54,105.88235294117646,138.51348728253706,853,60,173.21428571428572,277.3172959861343,853,54,136.29032258064515,215.34940753506243,46375.3673257024,340,280,20,2,3.2952576000000002,10.24296,1e-05,4.616617254819764,98.856322,10.244076,0.001014,6.178520125,4.708042869419679,98.832094,11.257526,0.003456,7.60246876923077,4.435684035234531,2,2,0,0,0,2,0,4,30,0,0,0.8235294117647058,136.29032258064515,29200,64240,9.213335,5.542211,7.953308,1.7054832090483918,10.233808,5.434361,8.52448,1.8319341093220303,0,0,0,0,0,0,105.88235294117646,173.21428571428572,0,17,14,1800,2425
192.168.200.4,93.184.220.29,59012,80,6,2020-02-04 12:24:08,93.226605,29.17622067219974,0.2788903446607328,0.1501717240480869,0.1287186206126459,14,12,1207,1513,485,54,86.21428571428571,110.72241905609111,853,60,126.08333333333333,219.1736215626527,853,54,104.61538461538461,170.7841816047099,29167.236686390526,280,240,20,1,3.7290642,10.242235,1e-05,4.884926437767832,93.224713,10.24401,0.002551,7.17113176923077,4.608262078249776,93.201158,11.256314,0.004189,8.472832545454544,3.9982645130796066,1,1,0,0,0,2,0,2,25,0,0,0.8571428571428571,104.61538461538461,29200,64240,0,0,0,0,10.23216,9.21506,9.72361,0.5085500000000005,0,0,0,0,0,0,86.21428571428571,126.08333333333333,0,14,12,1207,1513
192.168.200.4,93.184.220.29,59016,80,6,2020-02-04 12:24:08,93.226138,29.17636682536393,0.2788917417130376,0.15017247630702024,0.12871926540601736,14,12,1207,1513,485,54,86.21428571428571,110.72241905609111,853,60,126.08333333333333,219.1736215626527,853,54,104.61538461538461,170.7841816047099,29167.236686390526,280,240,20,1,3.7290455199999997,10.24223,1e-05,4.885087046063135,93.224368,10.244022,0.001254,7.171105230769232,4.608518086116523,93.20079,11.257353,0.003631,8.47279909090909,3.9986212577545786,1,1,0,0,0,2,0,2,25,0,0,0.8571428571428571,104.61538461538461,29200,64240,0,0,0,0,10.233426,9.215288,9.724357,0.5090690000000002,0,0,0,0,0,0,86.21428571428571,126.08333333333333,0,14,12,1207,1513
