Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.20.133-192.168.20.2-41768-53-6,192.168.20.133,41768,192.168.20.2,53,6,28/03/2025 08:25:38 AM,43692,6,4,42.0,84.0,42.0,0.0,7.0,17.146428199482248,42.0,0.0,21.0,24.24871130596428,2883.8231255149685,228.8748512313467,4854.666666666667,13893.18651353965,41892.0,29.0,43692.0,8738.4,18651.030877675366,42094.0,77.0,42240.0,14080.0,24111.329556870147,41921.0,36.0,0,0,0,0,140,84,137.324910738808,91.54994049253868,0.0,42.0,11.454545454545453,19.61817339287038,384.8727272727273,1,2,0,3,9,0,0,0,0.0,12.6,7.0,21.0,0,0,0,0,0,0,0,4,0,8,29200,64240,1,20,0,0,0,0,1.7431503388321992E15,15871.84728289379,1.743150338868191E15,1.743150338825947E15,No Label
192.168.20.2-192.168.20.133-53-41768-6,192.168.20.2,53,192.168.20.133,41768,6,28/03/2025 08:25:38 AM,1511,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1323.6267372600926,1511.0,0.0,1511.0,1511.0,1511.0,1511.0,0.0,1511.0,1511.0,0,0,0,0,0,0,0,0,0,40,0,1323.6267372600926,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64239,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.20.133-54.72.229.126-54938-443-6,192.168.20.133,54938,54.72.229.126,443,6,28/03/2025 08:25:31 AM,8054334,3,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,3.8488595084335957,0.620783791682838,2013583.5000000002,4024711.3184129945,8050650.0,79.0,8054334.0,4027167.0,5695162.466469943,8054255.0,79.0,8050650.0,8050650.0,0.0,8050650.0,8050650.0,0,0,0,0,60,40,0.3724702750097028,0.2483135166731352,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,0.0,6.2,0.0,15.5,0,0,0,0,0,0,0,0,0,6,37960,64240,0,20,0,0,0,0,1.7431503358471575E15,5690120.088013302,1.74315033987068E15,1.743150331823635E15,No Label
54.72.229.126-192.168.20.133-443-54938-6,54.72.229.126,443,192.168.20.133,54938,6,28/03/2025 08:25:39 AM,2289,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,873.7439930100481,2289.0,0.0,2289.0,2289.0,2289.0,2289.0,0.0,2289.0,2289.0,0,0,0,0,0,0,0,0,0,40,0,873.7439930100481,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64239,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.20.133-93.184.220.29-59018-80-6,192.168.20.133,59018,93.184.220.29,80,6,28/03/2025 08:25:38 AM,5825836,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6865967390774474,1941945.3333333333,3344176.613201272,5803447.0,200.0,5825836.0,2912918.0,4087825.31423274,5803447.0,22389.0,0,0,0,0,0,0,0,0,0,80,24,0.5149475543080856,0.17164918476936186,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,64240,0,20,0,0,0,0,8.71575172009908E14,1.2325934206770445E15,1.743150338216569E15,5803247.0,No Label
93.184.220.29-192.168.20.133-80-59018-6,93.184.220.29,80,192.168.20.133,59018,6,28/03/2025 08:25:44 AM,20916,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,95.6205775482884,20916.0,0.0,20916.0,20916.0,20916.0,20916.0,0.0,20916.0,20916.0,0,0,0,0,0,0,0,0,0,40,0,95.6205775482884,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64239,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.20.133-93.184.220.29-59014-80-6,192.168.20.133,59014,93.184.220.29,80,6,28/03/2025 08:25:38 AM,6852224,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7296900976967479,1713056.0,2773932.708275503,5812281.0,227.0,6852224.0,2284074.666666667,3096075.6924613994,5812281.0,20467.0,0,0,0,0,0,0,0,0,0,120,24,0.5837520781573983,0.14593801953934957,0.0,0.0,0.0,0.0,0.0,1,3,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,64240,0,20,0,0,0,0,1.162100227747741E15,1.0064083139398391E15,1.743150339215316E15,5812054.0,No Label
93.184.220.29-192.168.20.133-80-59014-6,93.184.220.29,80,192.168.20.133,59014,6,28/03/2025 08:25:45 AM,17374,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,115.11453896627144,17374.0,0.0,17374.0,17374.0,17374.0,17374.0,0.0,17374.0,17374.0,0,0,0,0,0,0,0,0,0,40,0,115.11453896627144,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64239,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.20.133-209.85.202.136-59104-443-6,192.168.20.133,59104,209.85.202.136,443,6,28/03/2025 08:25:49 AM,178009,14,9,279.0,122.0,42.0,0.0,19.92857142857143,20.87495476075903,42.0,0.0,13.555555555555555,20.366093827186837,2252.695088450584,129.20695021038262,8091.31818181818,17966.380710825437,73806.0,62.0,178009.0,13692.999999999998,22271.906560358348,73806.0,62.0,171712.0,21464.0,40619.90193770255,119824.0,166.0,0,0,0,0,300,184,78.64770882371116,50.55924138667146,0.0,42.0,16.708333333333332,20.320217318819648,412.911231884058,1,2,0,10,22,0,0,0,0.0,17.434782608695652,19.928571428571427,13.555555555555555,0,0,0,0,10,2348,0,12,0,5,29200,64240,7,20,0,0,0,0,1.7431503498268225E15,67454.23622416158,1.74315034990838E15,1.743150349731041E15,No Label
209.85.202.136-192.168.20.133-443-59104-6,209.85.202.136,443,192.168.20.133,59104,6,28/03/2025 08:25:49 AM,3831,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1044.113808405116,1277.0,1760.9517313089532,3288.0,11.0,3831.0,1277.0,1760.9517313089532,3288.0,11.0,0,0,0,0,0,0,0,0,0,80,0,1044.113808405116,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,20,0,0,0,0,1.743150349912155E15,0.0,1.743150349912155E15,1.743150349912155E15,No Label
